Часть;Год;Команда;Соперник;Минуты;Схема;Забито;Пропущено;Удары;Удары в створ;Передачи;Точные передачи;Навесы;Точные навесы;Владение;xG;PPDA;Победитель;Проигравший
1;2018;Ахмат;Арсенал;95;4-2-3-1 (100.0%);2;0;19;8;422;361;10;3;52.64;3.19;6.36;Ахмат;Арсенал
1;2018;Ахмат;Енисей;94;3-5-2 (100.0%);1;1;7;2;347;247;10;2;37.84;0.19;19.44;Ничья;Ничья
1;2018;Ахмат;ЦСКА;96;5-3-2 (79.58%);0;2;11;3;375;291;9;1;46.41;1.02;9.97;ЦСКА;Ахмат
1;2018;Ахмат;КС;94;5-3-2 (100.0%);2;1;8;2;455;372;14;6;52.39;0.95;9.19;Ахмат;КС
1;2018;Ахмат;Зенит;94;5-3-2 (93.08%);0;1;11;3;440;357;16;4;48.79;0.62;15.52;Зенит;Ахмат
1;2018;Ахмат;Динамо;94;5-3-2 (100.0%);0;0;8;1;443;357;10;3;48.98;0.72;9.73;Ничья;Ничья
1;2018;Ахмат;Краснодар;97;5-3-2 (100.0%);1;0;8;3;220;173;7;5;34.12;1.04;18.69;Ахмат;Краснодар
1;2018;Ахмат;Анжи;95;4-2-3-1 (88.84%);0;0;22;5;511;431;37;10;62.95;1.88;7.03;Ничья;Ничья
1;2018;Ахмат;Локомотив;94;3-5-2 (100.0%);0;2;5;2;336;276;10;4;44.05;0.35;13.77;Локомотив;Ахмат
1;2018;Ахмат;Оренбург;96;4-1-4-1 (61.72%);1;1;9;4;411;317;18;3;52.29;0.35;14.18;Ничья;Ничья
1;2018;Ахмат;Спартак;98;5-3-2 (100.0%);2;1;9;4;263;205;9;2;38.9;1.7;16.71;Ахмат;Спартак
1;2018;Ахмат;Уфа;95;4-2-3-1 (93.18%);2;1;11;6;455;382;18;6;58.51;0.94;6.97;Ахмат;Уфа
1;2018;Ахмат;Урал;95;4-1-4-1 (100.0%);1;2;12;4;362;279;8;1;44.13;0.87;14.2;Урал;Ахмат
1;2018;Ахмат;Рубин;96;4-2-3-1 (82.94%);1;1;12;3;399;324;19;10;44.47;1.92;9.89;Ничья;Ничья
1;2018;Ахмат;Арсенал;96;4-2-3-1 (99.36%);1;3;10;4;370;303;21;8;56.59;1.46;5.41;Арсенал;Ахмат
1;2018;Ахмат;Енисей;96;4-2-3-1 (100.0%);1;0;17;3;452;385;30;9;60.42;1.08;7.4;Ахмат;Енисей
1;2018;Ахмат;Ростов;94;4-2-3-1 (31.02%);0;1;2;0;332;274;13;2;38.93;0.01;16.91;Ростов;Ахмат
2;2018;Ахмат;Амкар;96;3-5-2 (53.02%);0;0;6;0;373;308;2;0;37.72;0.32;14.19;Ничья;Ничья
2;2018;Ахмат;Анжи;94;4-4-2 (100.0%);2;0;12;6;280;225;7;1;36.3;0.48;11.87;Ахмат;Анжи
2;2018;Ахмат;Урал;97;4-2-3-1 (94.18%);0;0;14;2;451;377;19;7;50.83;0.63;11.14;Ничья;Ничья
2;2018;Ахмат;Спартак;94;4-5-1 (100.0%);3;1;8;4;239;171;4;2;30.88;0.85;12.88;Ахмат;Спартак
2;2018;Ахмат;Локомотив;96;4-4-1-1 (100.0%);0;0;7;1;315;256;13;6;45.74;0.49;10.24;Ничья;Ничья
2;2018;Ахмат;Тосно;94;4-4-2 (68.0%);1;0;15;4;362;276;11;1;46.43;1.05;7.83;Ахмат;Тосно
2;2018;Ахмат;Рубин;95;5-3-2 (75.73%);2;3;6;3;368;294;6;0;43.16;1.36;14.14;Рубин;Ахмат
2;2018;Ахмат;СКА;94;4-2-3-1 (100.0%);0;0;18;5;559;454;32;11;63.35;1.2;7.46;Ничья;Ничья
2;2018;Ахмат;ЦСКА;93;4-4-1-1 (32.61%);0;3;17;5;466;384;21;8;58.32;2.24;7.22;ЦСКА;Ахмат
2;2018;Ахмат;Арсенал;100;4-4-1-1 (97.97%);0;1;12;3;488;404;13;4;62.2;1.36;8.03;Арсенал;Ахмат
1;2017;Ахмат;Зенит;95;3-4-2-1 (72.69%);0;0;11;3;277;217;15;5;47.57;0.93;9.63;Ничья;Ничья
1;2017;Ахмат;Краснодар;94;5-4-1 (100.0%);2;3;10;4;296;224;8;2;39.71;0.58;10.41;Краснодар;Ахмат
1;2017;Ахмат;Уфа;94;3-4-2-1 (87.82%);2;1;15;6;400;327;11;1;54.92;1.37;10.07;Ахмат;Уфа
1;2017;Ахмат;Динамо;94;3-4-2-1 (87.64%);1;1;11;4;450;378;18;4;56.77;0.84;5.89;Ничья;Ничья
1;2017;Ахмат;Ростов;94;3-4-2-1 (100.0%);1;0;13;3;455;358;13;7;53.29;0.84;7.67;Ахмат;Ростов
1;2017;Ахмат;Анжи;96;3-4-2-1 (86.12%);1;1;14;2;364;279;14;7;58.41;0.94;5.71;Ничья;Ничья
1;2017;Ахмат;Урал;94;3-4-2-1 (80.99%);0;2;14;3;460;383;7;2;50.28;1.5;5.5;Урал;Ахмат
1;2017;Ахмат;Спартак;96;5-4-1 (96.18%);1;2;9;3;324;235;14;3;46.25;1.15;8.47;Спартак;Ахмат
1;2017;Ахмат;Тосно;95;5-4-1 (49.11%);0;1;2;1;244;183;7;2;35.3;0.35;14.62;Тосно;Ахмат
1;2017;Ахмат;Рубин;95;3-4-2-1 (48.91%);1;0;10;2;340;246;14;3;52.33;1.1;9.93;Ахмат;Рубин
1;2017;Ахмат;СКА;95;4-2-3-1 (100.0%);2;2;22;10;420;339;16;8;52.57;1.93;10.45;Ничья;Ничья
1;2017;Ахмат;Локомотив;97;4-4-2 (63.9%);1;1;12;5;322;258;16;2;42.23;0.99;14.63;Ничья;Ничья
1;2017;Ахмат;ЦСКА;97;5-4-1 (100.0%);1;0;9;4;170;119;2;1;26.47;1.12;13.3;Ахмат;ЦСКА
1;2017;Ахмат;Арсенал;96;5-3-2 (48.13%);1;2;9;4;474;393;13;4;65.08;1.92;6.57;Арсенал;Ахмат
1;2017;Ахмат;Зенит;92;5-3-2 (31.85%);0;4;7;2;391;334;1;1;42.31;0.47;13.43;Зенит;Ахмат
1;2017;Ахмат;Краснодар;95;5-3-2 (68.82%);2;3;18;6;338;285;30;13;53.1;1.16;5.68;Краснодар;Ахмат
1;2017;Ахмат;Уфа;93;5-4-1 (100.0%);2;3;11;3;380;325;11;2;51.44;0.59;12.82;Уфа;Ахмат
1;2017;Ахмат;Динамо;94;5-4-1 (100.0%);2;0;12;7;432;367;14;4;56.96;1.68;11.75;Ахмат;Динамо
1;2017;Ахмат;Ростов;96;5-4-1 (100.0%);1;0;7;2;315;239;6;1;43.11;0.35;12.5;Ахмат;Ростов
1;2017;Ахмат;Амкар;93;3-4-2-1 (83.27%);1;0;11;5;427;365;14;4;68.92;1.43;7.14;Ахмат;Амкар
2;2017;Ахмат;КС;93;5-3-2 (100.0%);3;1;14;6;372;308;12;1;51.07;1.39;11.06;Ахмат;КС
2;2017;Ахмат;Спартак;93;5-3-2 (82.18%);0;3;14;5;332;272;11;5;37.71;1.16;19;Спартак;Ахмат
2;2017;Ахмат;Томь;93;5-3-2 (100.0%);2;1;11;3;413;345;23;8;50.42;0.44;10.9;Ахмат;Томь
2;2017;Ахмат;Зенит;98;3-5-2 (100.0%);1;0;6;3;278;207;3;2;33.3;1.16;18.8;Ахмат;Зенит
2;2017;Ахмат;Урал;93;3-5-2 (48.49%);5;2;13;5;396;330;11;5;44.83;1.46;10.84;Ахмат;Урал
2;2017;Ахмат;Рубин;96;3-5-2 (89.94%);1;0;10;4;277;215;8;1;38.05;1.93;12.28;Ахмат;Рубин
2;2017;Ахмат;Анжи;95;4-4-1-1 (69.67%);0;1;13;1;454;365;23;3;64.25;0.35;4.02;Анжи;Ахмат
2;2017;Ахмат;Оренбург;94;4-2-3-1 (100.0%);1;2;4;3;447;370;15;8;59.66;0.13;6.57;Оренбург;Ахмат
2;2017;Ахмат;Арсенал;93;3-4-1-2 (79.59%);3;1;12;6;395;319;12;2;47.33;1.25;9.5;Ахмат;Арсенал
2;2017;Ахмат;Амкар;94;4-2-3-1 (100.0%);1;1;6;2;481;377;19;2;57.7;0.32;6.83;Ничья;Ничья
2;2017;Ахмат;ЦСКА;95;4-1-4-1 (74.6%);0;1;8;2;518;420;15;8;51.64;0.63;11.65;ЦСКА;Ахмат
2;2017;Ахмат;Ростов;94;4-2-3-1 (100.0%);0;0;7;0;333;235;15;3;42.71;0.47;13.59;Ничья;Ничья
2;2017;Ахмат;Уфа;95;4-2-3-1 (87.38%);0;1;14;6;528;439;25;9;61.96;1.52;5.24;Уфа;Ахмат
1;2016;Ахмат;Локомотив;93;4-2-3-1 (81.92%);0;2;10;4;425;318;19;5;46.21;0.52;9.53;Локомотив;Ахмат
1;2016;Ахмат;Краснодар;93;4-2-3-1 (96.57%);2;1;15;8;455;383;17;5;47.67;0.92;8.68;Ахмат;Краснодар
1;2016;Ахмат;Спартак;92;4-2-3-1 (100.0%);0;1;15;5;332;254;17;5;44.51;1.72;6.66;Спартак;Ахмат
1;2016;Ахмат;Томь;95;4-2-3-1 (84.63%);0;0;8;3;466;382;22;6;65.27;0.53;3.79;Ничья;Ничья
1;2016;Ахмат;Зенит;94;4-2-3-1 (100.0%);2;1;12;5;308;228;13;5;41.47;1.18;7.31;Ахмат;Зенит
1;2016;Ахмат;Урал;93;4-2-3-1 (100.0%);4;1;13;7;395;328;15;5;46.09;1.98;9.76;Ахмат;Урал
1;2016;Ахмат;Рубин;95;4-2-3-1 (100.0%);3;1;9;3;352;267;12;3;45.06;1.29;10.48;Ахмат;Рубин
1;2016;Ахмат;Анжи;93;4-4-1-1 (88.45%);0;0;12;3;336;251;13;4;48.08;0.98;7.79;Ничья;Ничья
1;2016;Ахмат;Оренбург;93;4-2-3-1 (100.0%);2;1;10;3;311;256;15;6;54.83;1.8;7.03;Ахмат;Оренбург
1;2016;Ахмат;Арсенал;93;4-4-1-1 (100.0%);0;0;14;3;446;368;18;3;58.89;0.76;7.48;Ничья;Ничья
1;2016;Ахмат;Амкар;95;4-2-3-1 (100.0%);1;3;9;2;376;317;13;3;55.87;0.37;6.91;Амкар;Ахмат
1;2016;Ахмат;ЦСКА;93;4-2-3-1 (65.01%);0;3;7;3;307;242;5;4;38.42;0.43;19.53;ЦСКА;Ахмат
1;2016;Ахмат;Ростов;94;4-2-3-1 (85.14%);2;1;13;4;340;272;20;7;49.02;1.46;7.32;Ахмат;Ростов
1;2016;Ахмат;Уфа;95;4-2-3-1 (100.0%);3;1;8;5;320;250;9;4;50.3;1.4;10.26;Ахмат;Уфа
1;2016;Ахмат;Локомотив;94;4-4-2 (64.69%);1;1;9;1;363;318;13;3;39.28;0.68;11.52;Ничья;Ничья
1;2016;Ахмат;Краснодар;92;4-4-1-1 (62.43%);0;4;9;4;420;354;14;3;46.56;0.79;15.36;Краснодар;Ахмат
1;2016;Ахмат;КС;95;4-2-3-1 (100.0%);1;0;12;4;529;455;18;4;65.21;1.36;8.36;Ахмат;КС
2;2016;Ахмат;Ростов;94;4-2-3-1 (100.0%);0;2;18;5;521;443;19;5;65.12;1.35;8.35;Ростов;Ахмат
2;2016;Ахмат;Спартак;93;4-2-3-1 (100.0%);0;3;11;2;485;413;12;4;57.56;1.06;10.13;Спартак;Ахмат
2;2016;Ахмат;Амкар;94;4-2-3-1 (100.0%);2;0;8;3;509;437;8;3;61;0.97;6.58;Ахмат;Амкар
2;2016;Ахмат;ЦСКА;96;4-4-1-1 (87.4%);0;1;5;1;394;321;11;0;41.62;0.14;10.61;ЦСКА;Ахмат
